review,Reviewer_Score,sentiment,review_length,clean_review
 Location   Could hear the Underground from room Some of the rooms can be very small ,8.3,1,85,locat could hear underground room room small
 very helpful friendly and accommodating staff They responded to any request very well I left some items in the room by mistake and they offered to mail them to me Excellent service thank you   Nothing really ,9.2,1,209,help friendli accommod staff respond request well left item room mistak offer mail excel servic thank noth realli
 It s location is great and breakfast was delicious   I arrived 1 30 pm and they gave me the room at 2 15 pm they were very slow and late in check in The room is very small and old furniture with poor Internet connection An advice don t go for the location itself as there is no specific center in Amsterdam ,6.7,0,308,locat great breakfast delici arriv pm gave room pm slow late check room small old furnitur poor internet connect advic go locat specif center amsterdam
 The hotel style match with balance nearby  You still need to do more complementary in the rooms,7.9,1,96,hotel style match balanc nearbi still need complementari room
 Great location Breakfast good   Room key would not for the second night the booking com process somehow made the key invalid Reception took ages to sort it out,7.9,1,160,great locat breakfast good room key would second night book com process somehow made key invalid recept took age sort
 The breakfast options were good the view from the restaurant at the terrace was really nice the public transport such as trains and trams are on walking distance  The rooms are rather little smaller than expected the shower room is open to the bedroom in a corner not so good,7.5,1,276,breakfast option good view restaur terrac realli nice public transport train tram walk distanc room rather littl smaller expect shower room open bedroom corner good
 Lovely modern hotel very clean and comfortable Good location near Olympic village   Restaurant food very average taxi company that hotel use is overpriced Taxi we used on return journeys was less than half the price very frustrating ,9.2,1,234,love modern hotel clean comfort good locat near olymp villag restaur food averag taxi compani hotel use overpr taxi use return journey less half price frustrat
 Great location to Pubs and metro This is my third time to stay at this location I look forward to future stays  No Negative,10.0,1,124,great locat pub metro third time stay locat look forward futur stay neg
 Location  Noise,8.8,1,16,locat nois
 Gorgeous room lovely bathroom quiet street but just around the corner from lively St Germain the Latin Quarter They even provide a free to use smartphone Didn t have breakfast as it was a little pricey but even if they d offered it for free we will always have chosen to eat out You re in Paris grab a pastry and enjoy it by the river  Absolutely nothing Fabulous hotel ,10.0,1,371,gorgeou room love bathroom quiet street around corner live st germain latin quarter even provid free use smartphon breakfast littl pricey even offer free alway chosen eat pari grab pastri enjoy river absolut noth fabul hotel
 A charming hotel with gorgeous staircase decorations of giant plaster flowers which gives it an Alice in Wonderland charm Good service and great location  No Negative,9.2,1,167,charm hotel gorgeou staircas decor giant plaster flower give alic wonderland charm good servic great locat neg
 Location  Size of the room Smallest double room and double bed I have ever been No free wifi ,4.6,0,94,locat size room smallest doubl room doubl bed ever free wifi
 Beautiful big room huge comfy bed Two bedrooms great as travelling with kids Great location easy to get to attractions  No Negative,10.0,1,132,beauti big room huge comfi bed two bedroom great travel kid great locat easi get attract neg
 This is a beautiful cozy hotel in the most walkable lovely neighborhood I love the decor the lobby with champagne bar I highly recommend it  No Negative,10.0,1,153,beauti cozi hotel walkabl love neighborhood love decor lobbi champagn bar highli recommend neg
 The breakfast was varied and good The stuff was friendly The room is big and clean The wi fi is free and it works pretty good   The parking is too expensive 16 euros per day Geting out of the parking lot is very chalanging because there is a big slope and the door opens automaticaly but very slow so if you arrive fast in front of the exit door the car s engine dies and you slip back into a wall there is a big turn right before the exit The coffee at breakfast was awfull a 4 stars hotel should have an espresso machine It takes about 10 seconds to have the light in the bathroom It feels like forever ,7.9,1,606,breakfast vari good stuff friendli room big clean wi fi free work pretti good park expens euro per day gete park lot chalang big slope door open automaticali slow arriv fast front exit door car engin die slip back wall big turn right exit coffe breakfast awful star hotel espresso machin take second light bathroom feel like forev
 Atmosphere as in a private home  No Negative,10.0,1,45,atmospher privat home neg
 Good location bike rental inside the hotel the stuff was very friendly  We stayed 4 days and they cleaned the room only once,7.9,1,125,good locat bike rental insid hotel stuff friendli stay day clean room
 Breakfast was nice and croissants were excellent Rooms were clean but small Location very close to bus stops   Staff is very unpleasant specially those serving breakfast with manager being quite rude to tourists Elevator broke down and had to use stairs for a day and a half until it was fixed Rooms and bathroom are tiny ,7.1,1,323,breakfast nice croissant excel room clean small locat close bu stop staff unpleas special serv breakfast manag quit rude tourist elev broke use stair day half fix room bathroom tini
 Very comfortable bed in a perfect location downtown   They say the pool area is heated but they forget to mention the water is ICE COLD Come on people either you have a pool or you don t but this is childish ,7.5,1,209,comfort bed perfect locat downtown say pool area heat forget mention water ice cold come peopl either pool childish
 Hotel was very comfortable and the facilities were great Nice bar and restaurant   The room was way too warm which made it difficult to sleep at night ,9.6,1,152,hotel comfort facil great nice bar restaur room way warm made difficult sleep night
 Lovely staff gave us an upgrade on our room Great facilities and superb quality of stay No Negative,9.6,1,100,love staff gave us upgrad room great facil superb qualiti stay neg
 Beds were comfy Staff were friendly Pate was lovely   There wasn t much choice of wine and there wasn t much choice of food Location was not the best but taxi service was available from the hotel ,7.9,1,197,bed comfi staff friendli pate love much choic wine much choic food locat best taxi servic avail hotel
 Modern design No Negative,9.2,1,26,modern design neg
 Location facilities  Too much laundry in the corridors,8.8,1,55,locat facil much laundri corridor
 Very polite staff great location and got it for a great place what s not to like   Not specific to this hotel but wish city hotels didn t try to charge so much for breakfast ,9.6,1,175,polit staff great locat got great place like specif hotel wish citi hotel tri charg much breakfast
 The location is excellent and front desk staff are very nice Nice view  It is shabby and worn down not worthy of 4 stars almost not worthy of 3 ,5.8,0,145,locat excel front desk staff nice nice view shabbi worn worthi star almost worthi
 Bed confort  Breakfast room too much noisy Make you feel under pressure already on the early morning,7.5,1,101,bed confort breakfast room much noisi make feel pressur alreadi earli morn
 Location  Disappointed breakfast was not included when it stated breakfast on booking,7.5,1,86,locat disappoint breakfast includ state breakfast book
 Location is excellent for anyone who needs to be in Canary Warf Staff is VERY friendly and professional   WIFI connectivity in room did not really work and communication about whether it was included or not in price was unclear Breakfast is very elaborate but display is messy and with lots of children filling their plates it got more messy ,9.6,1,343,locat excel anyon need canari warf staff friendli profession wifi connect room realli work commun whether includ price unclear breakfast elabor display messi lot children fill plate got messi
 Great location Rooms well equipped and clean  Pillows not very comfortable Strange smell throughout whole hotel,7.9,1,112,great locat room well equip clean pillow comfort strang smell throughout whole hotel
 Beautiful room that was ready early with the most comfortable massive bed Backs straight onto the park can t wait to come back when all of the construction is complete We didn t hear anything building work related whilst staying Loved the atmosphere and feeling of all the areas of the hotel Especially the hall to our room   I can t think of anything that we didn t enjoy ,10.0,1,374,beauti room readi earli comfort massiv bed back straight onto park wait come back construct complet hear anyth build work relat whilst stay love atmospher feel area hotel especi hall room think anyth enjoy
 The bed was exceedingly comfortable the TV had a good selection of channels the shower was powerful and hot and the location is perfect for the Natural History Science and V A Museums and the Royal Albert Hall   The thickness of the walls between rooms isn t good with noisy neighbours we had a very early start to the day ,10.0,1,324,bed exceedingli comfort tv good select channel shower power hot locat perfect natur histori scienc v museum royal albert hall thick wall room good noisi neighbour earli start day
 Comfy bed good location No Negative,10.0,1,36,comfi bed good locat neg
 THE ROOM WAS OKAY THE STAFF WAS HELPFUL THE FRONT DESK WAS OKAY  THE OVERALL LOOK OF THE HOTEL WAS A BIT NEGLECTED THE PICTURE ON THE WEB DID NOT REFLECT THE IMAGE THE STAFF TRIED TO HELP BUT SOME FEEL SHORT WHERE AS SOME WENT BEYOND SAY WHAT YOU MEAN DO AS YOU SAY ,7.9,1,267,room okay staff help front desk okay overal look hotel bit neglect pictur web reflect imag staff tri help feel short went beyond say mean say
 staff was great when I wanted to sleep in I was not disturbed but a note was left outside my door so that in the PM I could call for my room to be tended to Very convenient to the airport bus public transit  pool was small but refreshing a bit of a walk to the sites but convenient public transit,8.8,1,297,staff great want sleep disturb note left outsid door pm could call room tend conveni airport bu public transit pool small refresh bit walk site conveni public transit
 location fast reception  check in at 3pm,7.9,1,41,locat fast recept check pm
 The location of this Hotel is perfect If you travel by Train Metro or Car You have Parking garages train and metro station within 5 min walking distance   No electricity in our room on the morning of our last day But the staff was nice to give us a discount We very appreciate it Thank you We definitely will come back ,8.8,1,320,locat hotel perfect travel train metro car park garag train metro station within min walk distanc electr room morn last day staff nice give us discount appreci thank definit come back
 Lovely staff lovely hotel with nice decor very clean and great location in really easy walking distance to two tube stations It was a birthday so they left a complimentary bottle of wine which I thought was a nice touch   Room a little compact hotel bar very expensive 17 for a G T and a beer ,9.6,1,294,love staff love hotel nice decor clean great locat realli easi walk distanc two tube station birthday left complimentari bottl wine thought nice touch room littl compact hotel bar expens g beer
 Nice room  Room service burger was brought after 1 25 hours and although got a call after 30 mins telling me the chef was very busy and my ordered wine would be brought up which I wasn t burger was very good in the end in the morning I mentioned this and my email was taken so half expected some follow up so a nice hotel let down a little by the kitchen ,7.1,1,356,nice room room servic burger brought hour although got call min tell chef busi order wine would brought burger good end morn mention email taken half expect follow nice hotel let littl kitchen
 I liked every thing apart from my meal at restrant  The way they done there dinner,9.6,1,83,like everi thing apart meal restrant way done dinner
 Different than others   Hard to access no help upon artivall,7.1,1,61,differ other hard access help upon artival
 People and location were excellent Breakfast and facilities were above average   Room size was less than expected ,7.5,1,115,peopl locat excel breakfast facil averag room size less expect
 Beautiful design super nice staff loved the personal touch in the room  No Negative,10.0,1,84,beauti design super nice staff love person touch room neg
No Positive  No free wi fi,8.8,1,26,posit free wi fi
 Great location able to take bikes staff helpful   The photo of the room didn t match what was provided the room provided was way smaller ,6.7,0,138,great locat abl take bike staff help photo room match provid room provid way smaller
 The staff were friendly and helpful The suggestions of places to eat in the information book in the rooms was spot on Good location  Bigger range of free teas and coffees,9.2,1,171,staff friendli help suggest place eat inform book room spot good locat bigger rang free tea coffe
 The staff were absolutely wonderful Celebrating a birthday they made us feel extremely welcome We absolutely loved it  The only fault there was Were the road works down the road noisy but no fault of her own ,10.0,1,209,staff absolut wonder celebr birthday made us feel extrem welcom absolut love fault road work road noisi fault
 The staff was amazing Extremely helpful   The price for the breakfast was different than what it was charged at the hotel ,7.9,1,123,staff amaz extrem help price breakfast differ charg hotel
 Bed was very comfortable   Wasn t given any of my genius perks,5.4,0,63,bed comfort given geniu perk
 Very convenient location Near train and metro  No Negative,8.3,1,59,conveni locat near train metro neg
 Friendly efficient staff well appointed and comfortable room and good breakfast  Exorbitant charge for valet parking,9.6,1,117,friendli effici staff well appoint comfort room good breakfast exorbit charg valet park
 Rooms perfect comfy bed Staff very helpful and accommodating Breakfast excellent   N a,10.0,1,87,room perfect comfi bed staff help accommod breakfast excel n
 The front desk staff were excellent No Negative,10.0,1,48,front desk staff excel neg
 Good rooms excellent location for Stadium  Lack of residents lounge,7.5,1,68,good room excel locat stadium lack resid loung
No Positive  Staff is not courteous,4.6,0,35,posit staff courteou
 The rooms are excellent The food in the restaurant is good No Negative,9.2,1,71,room excel food restaur good neg
 Very well located staff also very helpful  No Negative,10.0,1,55,well locat staff also help neg
 The Hotel Location is very fanatstic in front of the seaside and just eays and quick to take the Diagonal Mar to go to City Center The Hotel has a very goodlooking swinning pool at floor 13 and just by the Swimming pool there is agood bar very good the Drinks iin the evening The breakfast area it is at 4 floor and the cakes and Croissant are very good Enjoy your staying   Nothing,10.0,1,383,hotel locat fanatst front seasid eay quick take diagon mar go citi center hotel goodlook swin pool floor swim pool agood bar good drink iin even breakfast area floor cake croissant good enjoy stay noth
 Convenient to attractions staff were very friendly  No Negative,10.0,1,64,conveni attract staff friendli neg
 The location was fabulous as it was in the center of the city and the staff was extremely helpful   We stayed for two nights one at the beginning of our cruise and one at the end The first night we informed the staff that we would only need a room for 2 people on our return after the cruise We were told that we were all set After our second night stay we were billed the full amount for three people and were told that we should have changed our reservations through the agency in which we booked and that we had to pay the full amount This was NOT a great way to end our vacation being overcharged for our room because we were not informed about the policy ,9.6,1,661,locat fabul center citi staff extrem help stay two night one begin cruis one end first night inform staff would need room peopl return cruis told set second night stay bill full amount three peopl told chang reserv agenc book pay full amount great way end vacat overcharg room inform polici
 Staff very helpful especially Rui who looked after all the guests having afternoon tea   Having to come home after 3 great days ,9.2,1,129,staff help especi rui look guest afternoon tea come home great day
No Positive  From one night on this hotel we found a bugs Midnight shift staff is one of worst staff I meet before if you re trying to receive your room on this hotel don t not do that ,2.9,0,185,posit one night hotel found bug midnight shift staff one worst staff meet tri receiv room hotel
 Metro is nearly friendly staff and the rooms are clean  There was no kettle in the room like other 4 hotels The price of breakfast a 15 was too much for the menu they had ,7.9,1,172,metro nearli friendli staff room clean kettl room like hotel price breakfast much menu
 Was quiet and comfortable room was clean and shower was fine   Toilet didn t flush easily and air conditioning wasn t very good ,7.1,1,129,quiet comfort room clean shower fine toilet flush easili air condit good
 Clean comfortable and affordable Centrally located with friendly staff Would gladly stay there again  No Negative,10.0,1,114,clean comfort afford central locat friendli staff would gladli stay neg
 breakfast  room was cold the maximum temp is 23C but i think even less than 23C,6.3,0,80,breakfast room cold maximum temp c think even less c
 Location and comfort room was very small but furnished nicely and very clean and quiet  No Negative,7.5,1,100,locat comfort room small furnish nice clean quiet neg
 Breakfast is adequate 7 minutes walk from Main train station 5 minutes walk to U1 for town center 5 minutes walk to supermarket BILLY QUITE room No Negative,8.8,1,157,breakfast adequ minut walk main train station minut walk u town center minut walk supermarket billi quit room neg
 Enjoyed the location and the staff were extremely helpful Across the road is an excellent Italian Restaurant Breakfast is lovely the rooms are smallish but very comfortable   The area looks a bit rough but we had no problems Walking distance to shops and the Cathedral Milano,8.3,1,276,enjoy locat staff extrem help across road excel italian restaur breakfast love room smallish comfort area look bit rough problem walk distanc shop cathedr milano
 Great position comfortable great staff No Negative,10.0,1,51,great posit comfort great staff neg
 Friendly and helpful staff and great location to see rest of the city as close to metro stations Stayed in 702 suite with spa bath on terrace which made it super comfortable for some rest and relaxation after visiting all the sites   Ummm nothing,10.0,1,247,friendli help staff great locat see rest citi close metro station stay suit spa bath terrac made super comfort rest relax visit site ummm noth
 Location was fabulous couldn t fault room massive to with English channels   On the whole this hotel was fabulous only thing if I had to say if anything was it was a little pricey I guess it s true you get what you pay for ,9.6,1,224,locat fabul fault room massiv english channel whole hotel fabul thing say anyth littl pricey guess true get pay
 Staff was attentive and Jr Suite was spacious Proximity to Paddington Station was short walk   View from room was of a wall looking at another part of the building ,9.2,1,165,staff attent jr suit spaciou proxim paddington station short walk view room wall look anoth part build
 Excellent Location just a few minutes away from Moorgate Barbican tube station clean room comfy bed great hospitality   The staff forgot to send me the invoice via email as promised ,10.0,1,183,excel locat minut away moorgat barbican tube station clean room comfi bed great hospit staff forgot send invoic via email promis
 The staff at reception were really friendly and the hotel is really well located   The mattress was uncomfortable the doors slamming from the other rooms kept us up ,8.3,1,166,staff recept realli friendli hotel realli well locat mattress uncomfort door slam room kept us
 I chose Westminster for it s really good position You are near to everything and when you are in Paris walking is a must Staff very nice and helpful  No Negative,8.8,1,162,chose westminst realli good posit near everyth pari walk must staff nice help neg
 Very quiet environment despite being so close to Stephansplatz Convenient location to attend meetings at the Vienna International Centre U1 Convenient location for tourism purposes Availability of guest computer permitting online bookings and airline check in  No Negative,9.6,1,273,quiet environ despit close stephansplatz conveni locat attend meet vienna intern centr u conveni locat tourism purpos avail guest comput permit onlin book airlin check neg
 The staff was friendly   I ve never stayed at a hotel with such paper thin walls When the person next door opens their door I thought they were entering my room You hear everything in and outside The noise outside goes until 1 2am The plumbing was broken and I was told it would be replaced it never was ,5.0,0,305,staff friendli never stay hotel paper thin wall person next door open door thought enter room hear everyth outsid nois outsid goe plumb broken told would replac never
 Good location Near barbican parking and almost in the center of City   No terrace on the roof and very long corridors because of the old building but in the same time the good quality of rooms It was value for money and located in a good place That s why it was my choice But 1 night I stayed in their second hotel which advise me in a hotel due to no availability for the first night Lond City Houses located nearby and had a little bit more quality there and good terrace on the roof for breakfast and nice city view So I can advise both of this hotels to stay ,10.0,1,564,good locat near barbican park almost center citi terrac roof long corridor old build time good qualiti room valu money locat good place choic night stay second hotel advis hotel due avail first night lond citi hous locat nearbi littl bit qualiti good terrac roof breakfast nice citi view advis hotel stay
 The hotel was beautiful I liked the decor just to my taste Fantastic location near Hyde Park Staff was very friendly and was extremly helpful   That they tried to transfer us to the Paleham Hotel which I did not like ,9.6,1,218,hotel beauti like decor tast fantast locat near hyde park staff friendli extremli help tri transfer us paleham hotel like
 Brilliant Size Room Good Public Transport Options Bus Overground Excellent Facilities  No Negative,10.0,1,99,brilliant size room good public transport option bu overground excel facil neg
 Good bed friendly reception and manned 24hr No Negative,9.2,1,56,good bed friendli recept man hr neg
 Mattress was very comfortable and staff helped with bags to the room   Room a bit bigger it seemed very compact,8.8,1,112,mattress comfort staff help bag room room bit bigger seem compact
 Everything was new so really clean Bathroom a bit small but immaculate No Negative,7.5,1,83,everyth new realli clean bathroom bit small immacul neg
 Excellent location really friendly and helpful staff lovely clean hotel and room very comfortable bed   Hairdryer stopped working when it got hot Nowhere to hang hand towel in bathroom,10.0,1,185,excel locat realli friendli help staff love clean hotel room comfort bed hairdryer stop work got hot nowher hang hand towel bathroom
 The room was very clean and hotel was conveniently located The management honoured their commitment to us as they confirmed the availability of a room by 830am upon our arrival Since it was not available they had upgraded us instead The manager was super hospitable She gave me a cup of tea while waiting in the lobby after checking out I still remembered that evening was a rainy cold Friday evening in Paris   The hairdryer ,9.2,1,427,room clean hotel conveni locat manag honour commit us confirm avail room upon arriv sinc avail upgrad us instead manag super hospit gave cup tea wait lobbi check still rememb even raini cold friday even pari hairdryer
 The staff were exceptional  Having to pay extra for WiFi,9.2,1,57,staff except pay extra wifi
 The location was convenient  No Negative,8.8,1,41,locat conveni neg
No Positive  Breakfast was very highly priced While the selection was good it is hardly worth paying 17 50 for ,9.2,1,111,posit breakfast highli price select good hardli worth pay
 This hotel has a special style and atmosphere  lack a sport facilities limited lift capacity although walking upstairs and downstairs resolved both problem ,9.6,1,157,hotel special style atmospher lack sport facil limit lift capac although walk upstair downstair resolv problem
 Location  Very very noisy place You will listen for every guest arriving even in the middle of the night We were very unlucky and on the top we ve got people upstairs which were jumping up and down or its just the place ,5.8,0,221,locat noisi place listen everi guest arriv even middl night unlucki top got peopl upstair jump place
 Friendly staff Happy to help tasty breakfast   Road noise But that s out of the hotels control Next time will pack earplugs ,10.0,1,125,friendli staff happi help tasti breakfast road nois hotel control next time pack earplug
 Great overall experience No Negative,10.0,1,37,great overal experi neg
 Location was very good handy to bus tube restaurants etc  Not a bad experience but room was very small and no provision for placement of suitcases etc even though we upgraded to an executive room ,7.5,1,197,locat good handi bu tube restaur etc bad experi room small provis placement suitcas etc even though upgrad execut room
 Position Car parking very close to the hotel  Breakfast expensive and not included in the room rate,8.8,1,100,posit car park close hotel breakfast expens includ room rate
 Everything   Nothing ,10.0,1,22,everyth noth
 Good facilities pool sauna and rooftop bar great size room Queen very comfortable bed excellent location for Oxford Circus the Palladium Regent Street and Carnaby Street   Service could have been friendlier ,8.3,1,208,good facil pool sauna rooftop bar great size room queen comfort bed excel locat oxford circu palladium regent street carnabi street servic could friendlier
No Positive  Room smelt of smoke Room looked tired and shabby ,4.6,0,62,posit room smelt smoke room look tire shabbi
 Extra comfy bed iron in the room as requested Staff were ok wake up calls quiet decent bar  I wasn t there enough to spot something i didn t like,9.2,1,146,extra comfi bed iron room request staff ok wake call quiet decent bar enough spot someth like
 Hotel staff where friendly room service was excellent the view of the tower was amazing from room Short walk to most places was great The bed was so comfy bedroom really stylish Docking station to listen to music was a bonus and built in plugs for your UK electrics so we did not need a adapter Super cool   Only thing was having no bath But you can live with that because of the wet room you have with a large waterfall shower ,10.0,1,429,hotel staff friendli room servic excel view tower amaz room short walk place great bed comfi bedroom realli stylish dock station listen music bonu built plug uk electr need adapt super cool thing bath live wet room larg waterfal shower
 The Hotel was lovely great rooms and in a good location The staff were the best though everyone was engaging friendly and courteous and really lovely  Nothing,10.0,1,159,hotel love great room good locat staff best though everyon engag friendli courteou realli love noth
 The view from the room was superb We could see the houses of Parliament the two bridges over the Thames and the London eye It made our stay very enjoyable watching the sunset and the city waking up from our room This was so relaxing and enjoyable that we used room service for breakfast The location is very good 8 mins walk to the Victoria Line at Warterloo and the walk along Albert Embankment to various places is a pleasure Very good value Reception and consierge are very good   The bolt on the bathroom door is a strange design which meant we were locked out of our bathroom at 3 am which is a rather surreal experience Housekeeping came quickly to rectify the situation Room servive is very good The size of our riverview room was excellent The appointments in the room are mainly very good but the blinds could do with an up grade Housekeeping are aware of this need ,8.8,1,876,view room superb could see hous parliament two bridg thame london eye made stay enjoy watch sunset citi wake room relax enjoy use room servic breakfast locat good min walk victoria line warterloo walk along albert embank variou place pleasur good valu recept consierg good bolt bathroom door strang design meant lock bathroom rather surreal experi housekeep came quickli rectifi situat room serviv good size riverview room excel appoint room mainli good blind could grade housekeep awar need
 everything good staff very helpful  nothing to complain about ,9.6,1,63,everyth good staff help noth complain
 The friendly staff Overated  Small rooms even the club room Small toilets,7.5,1,74,friendli staff over small room even club room small toilet
 The rooms were great but the best thing about the hotel was the staff No matter what we needed the staff were more than willing to go the extra mile for us In particular John made sure that our stay in Barcelona was a fantastic one Thanks to all the staff for making our holiday a special one   Nothing bad at all,9.6,1,314,room great best thing hotel staff matter need staff will go extra mile us particular john made sure stay barcelona fantast one thank staff make holiday special one noth bad
 location  breakfast there was not really good,9.6,1,46,locat breakfast realli good
 The rooms was lovely and the view was stunning Breakfast was always excellent and the staff were very helpful and friendly   The bed was so so soft and we are used to the firmest mattress at home We removed the topper and this helped on our last night ,9.6,1,253,room love view stun breakfast alway excel staff help friendli bed soft use firmest mattress home remov topper help last night
No Positive  I would prefer a breakfast buffet Quality of food far breakfast did vary from day to day ,8.8,1,102,posit would prefer breakfast buffet qualiti food far breakfast vari day day
 The croissants was superb The bed was very comfortable  I just love everything,9.6,1,79,croissant superb bed comfort love everyth
 Good value for money  No Negative,8.8,1,34,good valu money neg
 Staff were very helpful and pleasing  The breakfast was cold and no sauces any where,7.5,1,85,staff help pleas breakfast cold sauc
 The room was spacious   I paid for my parking walked straight to my car entered my destination into the sat nav and went to leave When I got to the barrier it would not allow me to leave It took me one minute to enter my sat nav and it charged me 2 euros extra for that time ,6.3,0,276,room spaciou paid park walk straight car enter destin sat nav went leav got barrier would allow leav took one minut enter sat nav charg euro extra time
 Well connected ideal starting place for exploring Wien Underground exit just around a corner While hotel located on a busy shopping street courtyard view room is reasonably quiet Staff was very helpful Every time we asked for directions we got a map with a drawn route Included public transport ticket is useful  No Negative,10.0,1,325,well connect ideal start place explor wien underground exit around corner hotel locat busi shop street courtyard view room reason quiet staff help everi time ask direct got map drawn rout includ public transport ticket use neg
 Awesome place  Room a bit dark,9.6,1,31,awesom place room bit dark
 Polite and considerate staff Very clean room Good size room Excellent value for money Location No Negative,10.0,1,107,polit consider staff clean room good size room excel valu money locat neg
 Very good generally food excellent and very courteous and helpful staff  Felt the price we paid even allowing for the fact it was London the room was VERY small have stayed here before when room size was much more acceptable then Hotel was Kensington Close xx,7.5,1,260,good gener food excel courteou help staff felt price paid even allow fact london room small stay room size much accept hotel kensington close xx
 Breakfast was great as was size of the room in comparison to other hotels in the area   The wifi did not work for the first night ,9.6,1,131,breakfast great size room comparison hotel area wifi work first night
 Complimentary items in the mini bar and complimentary newspaper Great bar  No Negative,9.6,1,87,complimentari item mini bar complimentari newspap great bar neg
 Lovely attentive staff Fantastic ambience No Negative,10.0,1,54,love attent staff fantast ambienc neg
 Great location for attending a conference across the street from CCIB  Staff were indifferent not unfriendly but not friendly either On the expensive side ,7.1,1,156,great locat attend confer across street ccib staff indiffer unfriendli friendli either expens side
 Breakfast was excellent Although the hot food was buffet style it was very fresh and regularly topped up Loved the self squeeze orange juice   There was no plug in the sink and the staff had no idea how to find one until housekeeping came in the following morning not very helpful as I had left by then ,7.1,1,304,breakfast excel although hot food buffet style fresh regularli top love self squeez orang juic plug sink staff idea find one housekeep came follow morn help left
 Perfect location good price big rooms with view   Weak water pressure in bathroom ,9.2,1,83,perfect locat good price big room view weak water pressur bathroom
 Nice clean and very new  Very very small room but expected,7.1,1,59,nice clean new small room expect
 Excellent hotel with brilliant staff and ensure they look after their guests  No Negative,10.0,1,90,excel hotel brilliant staff ensur look guest neg
 Location  Nothing,7.1,1,18,locat noth
 Cosy vibrant cool design great bar and coffee lounge lobby close to tube and walking to west end  No Negative,9.2,1,110,cosi vibrant cool design great bar coffe loung lobbi close tube walk west end neg
 Location  Expensive and small bedroom but ok ,7.9,1,46,locat expens small bedroom ok
No Positive  bathroom is extremly small not suitable for 180 cm,9.2,1,63,posit bathroom extremli small suitabl cm
 Excellent location Could find it at once even though it was 9at night Clean Good breakfast Nice staff Definitely visit it again   Hope To have slippers ,10.0,1,153,excel locat could find even though night clean good breakfast nice staff definit visit hope slipper
 Location is just opposite the metro station   The room is too small and was not good as expected ,4.2,0,98,locat opposit metro station room small good expect
 Amazing location Lovely atmosphere and loved the executive lounge great breakfast there hot fresh and loads of choice   No complaints ,10.0,1,135,amaz locat love atmospher love execut loung great breakfast hot fresh load choic complaint
 breakfast good proper fruit thanks No Negative,8.3,1,47,breakfast good proper fruit thank neg
 Breakfast was nice Staff were friendly Entrance impressive Location was amazing   Overpriced for a hotel that needs updating Our room was tiny and had no air con Won t be back You pay for the location of the hotel and not the rooms ,6.7,0,233,breakfast nice staff friendli entranc impress locat amaz overpr hotel need updat room tini air con back pay locat hotel room
 Room is clean Reception is polite and helpful Good breakfast  No Negative,9.2,1,74,room clean recept polit help good breakfast neg
 The reception and bar staff were very friendly and helpful No Negative,9.6,1,71,recept bar staff friendli help neg
 The bedroom was very comfortable with a large bed and comfortable matress Breakfast was excellent  was awoken early by housekeeping even though checkout was 12 noon,9.6,1,165,bedroom comfort larg bed comfort matress breakfast excel awoken earli housekeep even though checkout noon
 The location of the hotel is great It is very close to Las Ramblas about 5 mins walking distance and there are plenty of restaurants and shops around The bed was a nice size big and comfortable The shower is bigger than my walk in closet I m not even joking The staff at at reception were all very enthusiastic and helpful They have someone posted at the entrance at all times to call a taxi for hotel guest They halted a taxi for us at 3 a m so we could catch our early morning flight I also enjoyed the bar and lounge areas All very nice   My boyfriend and I went to the spa at various times throughout the day and each and every time there was a sign there that said Please do not disturb Doing a massage in the back But the sign literally never moved I m convinced only one person was on shift both days or something because whomever was never at the desk I also had trouble with room service To order pizza and it took an hour of our request for an hour to be fulfilled So getting things done in a timely fashion when it comes to room service wasn t the best ,7.9,1,1065,locat hotel great close la rambla min walk distanc plenti restaur shop around bed nice size big comfort shower bigger walk closet even joke staff recept enthusiast help someon post entranc time call taxi hotel guest halt taxi us could catch earli morn flight also enjoy bar loung area nice boyfriend went spa variou time throughout day everi time sign said pleas disturb massag back sign liter never move convinc one person shift day someth whomev never desk also troubl room servic order pizza took hour request hour fulfil get thing done time fashion come room servic best
 Bar and restaurant personnel were excellent  No Negative,10.0,1,57,bar restaur personnel excel neg
 Near a tube station and free wifi  We could hear the room next door Dry martini was way over priced,6.3,0,100,near tube station free wifi could hear room next door dri martini way price
No Positive  I have booked and paid for Superior Room but instead was given Chamber Room small room When I asked that my room supposed to be larger in size they informed that no rooms available basically take it or leave it Next day they refunded part payment Management is nice but night staff not really If you book in this hotel make sure that you call them and confirm that you are getting the room Otherwise you may not receive the room you paid for Otherwise the hotel is very nice ,8.3,1,488,posit book paid superior room instead given chamber room small room ask room suppos larger size inform room avail basic take leav next day refund part payment manag nice night staff realli book hotel make sure call confirm get room otherwis may receiv room paid otherwis hotel nice
 Enjoyed my stay at the hotel and was happy with my room the views of London were nice the bar areas also the same staff were attentive at all times and pleasant made us feel very relaxed would definitely stay again  No Negative,9.6,1,228,enjoy stay hotel happi room view london nice bar area also staff attent time pleasant made us feel relax would definit stay neg
 The location of the hotel was great with brilliant views we really enjoyed the ferry too The bar restaurant are also excellent   The most ridiculous things is 12 a day for WiFi ,9.2,1,178,locat hotel great brilliant view realli enjoy ferri bar restaur also excel ridicul thing day wifi
